Brand Name,Model,Product Price,Details
Object,OBJZOE - Blouse,30.99,"100% viscose, 100% viscose, Crew neck"
Anna Field,Top,13.49,"65% polyester, 30% viscose, 5% elastane, Rib, Square neck"
Anna Field,Basic T-shirt,19.99,"81% viscose, 19% polyamide, Rib, Henley"
Levi's®,HOUSEMARK GRAPHIC TEE UNISEX - Print T-shirt,16.89,"100% cotton, Jersey, Crew neck"
Abercrombie & Fitch,COZY HENLEY  - Long sleeved top,21.74,"48% polyester, 48% viscose, 4% elastane, Knit, Henley"
NU-IN,CUTOUT TIE BACK - Long sleeved top,25.99,"60% lyocell, 40% cotton, Rib, Crew neck"
Anna Field,Basic T-shirt,9.99,"50% cotton, 50% modal, Jersey, Low-cut v-neck"
Weekday,PRIME - Basic T-shirt,11.99,"100% cotton, Jersey, Standing collar"
Weekday,MARGERIE LONG SLEEVE - Long sleeved top,15.59,"94% polyester, 6% elastane, Mesh, Very sheer"
Anna Field,Long sleeved top,8.99,"100% cotton, Jersey, Crew neck"
Anna Field,Top,10.39,"95% viscose, 5% elastane, Jersey, Crew neck"
Zign,Top,7.79,"48% cotton, 47% polyester, 5% elastane, Rib, Low-cut v-neck"
Nike Sportswear,TEE BOY LOVE - Print T-shirt,15.39,"100% cotton, Jersey, Crew neck"
Anna Field,MODERN TEE - Basic T-shirt,9.99,"100% cotton, Jersey, Crew neck"
Re.draft,STRIPED BLOUSE - Print T-shirt,34.99,"53% cotton, 27% viscose, 20% lyocell, Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle, Button"
Cotton On,CLASSIC TEE - Print T-shirt,8.99,"100% cotton, Jersey, Crew neck"
Springfield,TWINSET - Top,19.99,"100% cotton, Knit, Low-cut v-neck"
Selected Femme,MY PERFECT    - Print T-shirt,14.99,"100% cotton, Jersey, Crew neck"
Even&Odd,Top,8.44,"50% cotton, 50% modal, Jersey, Scoop neck"
Hollister Co.,TIMELESS - Print T-shirt,11.39,"60% cotton, 40% polyester, Jersey, Crew neck"
Even&Odd,Top,10.39,"95% cotton, 5% elastane, Rib, Crew neck"
Anna Field,2 PACK - Basic T-shirt,12.79,"50% cotton, 50% modal, Jersey, Low-cut v-neck"
Even&Odd Tall,WITH WIDE COLLAR - Basic T-shirt,5.84,"100% cotton, Jersey, Standing collar"
Even&Odd,Long sleeved top,8.99,"100% cotton, Jersey, Crew neck"
More & More,Top,22.99,"95% cotton, 5% elastane, 95% cotton, 5% elastane, Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle"
Carin Wester,NELLY - Polo shirt,22.09,"48% modal, 45% cotton, 7% elastane, Jersey, Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle"
Vila,VISONILLA DETAIL - Top,13.49,"95% viscose, 5% elastane, Jersey, Low-cut v-neck"
Nike Sportswear,W NSW TEE JDI SLIM - Print T-shirt,13.99,"100% cotton, Jersey, Crew neck"
Even&Odd,Long sleeved top,8.99,"100% cotton, Jersey, Crew neck"
More & More,Top,22.99,"95% cotton, 5% elastane, 95% cotton, 5% elastane, Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle"
Anna Field,Long sleeved top,25.99,"100% polyester, Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle, Semi-sheer"
Carin Wester,NELLY - Polo shirt,22.09,"48% modal, 45% cotton, 7% elastane, Jersey, Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle"
Vila,VISONILLA DETAIL - Top,13.49,"95% viscose, 5% elastane, Jersey, Low-cut v-neck"
-,-,-,-
Nike Sportswear,W NSW TEE JDI SLIM - Print T-shirt,13.99,"100% cotton, Jersey, Crew neck"
Vero Moda,VMFRANCA - Long sleeved top,18.99,"62% polyester, 33% viscose, 5% elastane, Rib, Crew neck"
Moss Copenhagen,ALVA PLAIN TEE - Basic T-shirt,16.99,"65% polyester, 35% cotton, Jersey, Crew neck"
Cotton On,CLASSIC TEE - Print T-shirt,14.99,"100% cotton, Jersey, Crew neck"
Even&Odd,2 PACK - Top,14.39,"95% cotton, 5% elastane, Rib, Crew neck"
Tommy Jeans,ESSENTIAL LOGO TEE - Print T-shirt,29.99,"60% cotton, 40% polyester, Jersey, Crew neck"
-,-,-,-
Anna Field,3 PACK - Top,16.99,"95% cotton, 5% elastane, Jersey, Scoop neck"
Even&Odd,2 PACK - Top,12.99,"95% cotton, 5% elastane, Rib, Crew neck"
Anna Field,Top,10.99,"95% viscose, 5% elastane, 90% polyamide, 10% elastane, Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle"
Guess,SLIM FIT - Print T-shirt,24.99,"95% cotton, 5% elastane, Jersey, Low-cut v-neck"
Calvin Klein Jeans,REFLECTIVE MONOGRAM TEE - Print T-shirt,29.74,"100% cotton, Jersey, Crew neck"
Vero Moda,VMAVA PLAIN - Basic T-shirt,11.99,"95% lyocell, 5% elastane, Jersey, Crew neck"
GANT,THE SUMMER - Polo shirt,32.99,"100% cotton, Machine wash at 40°C, Plain"
Anna Field,Basic T-shirt,6.49,"100% cotton, Jersey, Crew neck"
ONLY,ONLKITA LIFE FACE DOT BOX - Print T-shirt,8.99,"93% cotton, 5% polyester, 2% elastane, Jersey, Crew neck"
Tommy Jeans,ESSENTIAL LOGO TEE - Print T-shirt,19.49,"100% cotton, Jersey, Crew neck"
-,-,-,-
Abercrombie & Fitch,5 PACK - Basic T-shirt,59.99,"100% cotton, Jersey, Low-cut v-neck"
